timestamp,temperature_c,relative_humidity_percent,wind_speed_m_s,solar_irradiance
2024-01-01 00:00:00,18.95,74.94,3.18,0.0
2024-01-01 01:00:00,18.83,74.09,3.36,0.0
2024-01-01 02:00:00,20.95,65.46,3.93,80.28
2024-01-01 03:00:00,23.49,55.12,4.43,258.58
2024-01-01 04:00:00,27.13,45.43,3.27,283.77
2024-01-01 05:00:00,30.39,38.07,2.24,452.62
2024-01-01 06:00:00,31.74,35.36,1.5,685.55
2024-01-01 07:00:00,32.48,33.71,0.82,671.65
2024-01-01 08:00:00,32.8,32.88,0.35,609.25
2024-01-01 09:00:00,32.69,32.67,0.84,490.35
2024-01-01 10:00:00,32.0,34.59,1.54,324.8
2024-01-01 11:00:00,30.24,43.55,1.95,141.85
2024-01-01 12:00:00,26.31,62.94,2.61,15.15
2024-01-01 13:00:00,24.55,66.66,3.13,0.0
2024-01-01 14:00:00,23.57,70.87,3.22,0.0
2024-01-01 15:00:00,22.74,74.85,3.14,0.0
2024-01-01 16:00:00,22.0,77.36,3.07,0.0
2024-01-01 17:00:00,21.34,78.1,3.04,0.0
2024-01-01 18:00:00,20.75,77.52,2.99,0.0
2024-01-01 19:00:00,20.22,76.25,2.95,0.0
2024-01-01 20:00:00,19.74,74.98,2.94,0.0
2024-01-01 21:00:00,19.33,74.24,2.95,0.0
2024-01-01 22:00:00,18.98,73.98,2.94,0.0
2024-01-01 23:00:00,18.68,74.14,2.92,0.0
2024-01-02 00:00:00,18.43,74.53,2.91,0.0
2024-01-02 01:00:00,18.17,75.2,2.99,0.0
2024-01-02 02:00:00,20.26,68.07,3.11,72.35
2024-01-02 03:00:00,23.01,54.84,3.69,241.02
2024-01-02 04:00:00,26.83,42.18,2.39,223.8
2024-01-02 05:00:00,29.88,35.84,1.42,577.47
2024-01-02 06:00:00,31.35,34.03,0.69,669.65
2024-01-02 07:00:00,32.17,33.13,0.76,645.53
2024-01-02 08:00:00,32.39,32.98,1.45,589.28
2024-01-02 09:00:00,32.0,33.73,1.99,525.88
2024-01-02 10:00:00,31.13,36.35,2.48,313.55
